age,gender,state,prescribe_levothyroxine,prescribe_liothyronine,prescribe_thyroid_usp
50 - 64,Female,Arizona,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Arkansas,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,California,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Colorado,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Connecticut,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,Delaware,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,District of Columbia,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Florida,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Georgia,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Hawaii,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Idaho,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Illinois,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Indiana,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Iowa,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Kansas,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Kentucky,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Louisiana,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Maine,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,Maryland,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Massachusetts,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,Michigan,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Minnesota,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Mississippi,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Missouri,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Montana,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Nebraska,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Nevada,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,New Hampshire,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,New Jersey,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,New Mexico,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,New York,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,North Carolina,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,North Dakota,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Ohio,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Oklahoma,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Oregon,81.8960244804731,3.5291823722463915,14.574793147280515
50 - 64,Female,Pennsylvania,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,Rhode Island,93.52332852146701,2.4286386610075006,4.048032817525489
50 - 64,Female,South Carolina,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,South Dakota,90.84482070996958,1.0960865160001212,8.059092774030313
50 - 64,Female,Tennessee,88.51595574521022,2.8588092476554765,8.625235007134302
